customer_state,total_orders,late_orders,late_percentage
AC,80,3,3.75
AL,397,95,23.929471032745592
AM,145,6,4.137931034482759
AP,67,3,4.477611940298507
BA,3256,457,14.035626535626536
CE,1279,196,15.32447224394058
DF,2080,147,7.0673076923076925
ES,1995,244,12.230576441102757
GO,1957,160,8.175779253960142
MA,717,141,19.665271966527197
MG,11354,637,5.61035758323058
MS,701,81,11.554921540656206
MT,886,60,6.772009029345373
PA,946,117,12.367864693446089
PB,517,57,11.02514506769826
PE,1593,172,10.797237915881984
PI,476,76,15.966386554621847
PR,4923,246,4.996953077391835
RJ,12350,1664,13.473684210526315
RN,474,51,10.759493670886076
RO,243,7,2.880658436213992
RR,41,5,12.195121951219512
RS,5344,382,7.1482035928143715
SC,3546,346,9.75747320924986
SE,335,51,15.223880597014924
SP,40494,2387,5.894700449449301
TO,274,35,12.773722627737227
